2020-08-11 12:38:26,446 - Recorded info
2020-08-11 12:40:03,320 - Recorded info
2020-08-11 13:17:41,099 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1189 , 86 
2020-08-11 13:17:41,100 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1259 , 16 
2020-08-11 13:18:06,205 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1238 , 37 
2020-08-11 13:18:06,206 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:18:06,207 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1238 , 37 
2020-08-11 13:18:06,208 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:18:31,307 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1269 , 6 
2020-08-11 13:18:31,308 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:18:31,309 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1269 , 6 
2020-08-11 13:18:31,310 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:18:56,444 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1188 , 87 
2020-08-11 13:18:56,445 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:18:56,445 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1188 , 87 
2020-08-11 13:18:56,446 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:19:21,586 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1224 , 51 
2020-08-11 13:19:21,587 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:19:21,587 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1224 , 51 
2020-08-11 13:19:21,588 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:19:46,713 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1174 , 101 
2020-08-11 13:19:46,714 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1174 , 101 
2020-08-11 13:19:46,715 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1190 , 85 
2020-08-11 13:20:11,937 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1258 , 17 
2020-08-11 13:20:11,937 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:20:11,938 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1258 , 17 
2020-08-11 13:20:11,939 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:20:37,184 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1174 , 101 
2020-08-11 13:20:37,185 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1174 , 101 
2020-08-11 13:20:37,186 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1199 , 76 
2020-08-11 13:21:02,464 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:21:02,465 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1227 , 48 
